year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late,departure_region,arrival_region,pct_cancelled
2015,3,National,PARIS EST,STRASBOURG,141.679864253,443,1,12,18.5,0.62443438914,29.0,32.8620689655,2.74208144796,0.428571428571,0.142857142857,0.25,0.107142857143,0.0714285714286,0.0,20.0,42.05,11.0,4.0,IDF,GE,0.002257336343115124
2015,3,National,AVIGNON TGV,PARIS LYON,162.804347826,508,2,87,16.8390804598,3.74703557312,47.0,28.5531914894,0.998023715415,0.234042553191,0.297872340426,0.106382978723,0.127659574468,0.127659574468,0.106382978723,36.0,33.4444444,19.0,2.0,PACA,IDF,0.003937007874015748
2015,3,National,MACON LOCHE,PARIS LYON,100.489071038,183,0,48,11.0625,4.08743169399,10.0,18.6,-0.306010928962,0.2,0.0,0.4,0.1,0.2,0.1,5.0,24.2,1.0,0.0,BFC,IDF,0.0
2015,3,National,MARSEILLE ST CHARLES,PARIS LYON,199.443324937,398,1,16,17.3125,0.88161209068,12.0,58.4166666667,0.0554156171285,0.5,0.166666666667,0.0,0.166666666667,0.0833333333333,0.0833333333333,12.0,58.4166667,7.0,4.0,PACA,IDF,0.002512562814070352
2015,3,National,PARIS LYON,NIMES,180.330479452,292,0,8,19.0,0.599315068493,20.0,32.25,4.57876712329,0.45,0.15,0.0,0.3,0.1,0.0,19.0,33.3684211,10.0,1.0,IDF,O,0.0
2015,3,National,PERPIGNAN,PARIS LYON,305.201754386,114,0,5,10.8,0.622807017544,14.0,29.7142857143,4.0,0.357142857143,0.357142857143,0.0714285714286,0.214285714286,0.0,0.0,14.0,29.7142857,5.0,1.0,O,IDF,0.0
2015,3,National,PARIS LYON,TOULON,233.570754717,213,1,10,22.9,1.25943396226,28.0,33.4285714286,7.74056603774,0.25,0.25,0.107142857143,0.25,0.107142857143,0.0357142857143,28.0,33.4285714,12.0,3.0,IDF,PACA,0.004694835680751174
2015,3,National,PARIS MONTPARNASSE,BORDEAUX ST JEAN,207.714728682,645,0,8,21.375,0.337984496124,27.0,32.7407407407,2.04031007752,0.36,0.24,0.12,0.08,0.12,0.08,27.0,32.7407407,9.0,2.0,IDF,NAq,0.0
2015,3,National,PARIS MONTPARNASSE,LE MANS,55.8241758242,455,0,12,13.0833333333,0.454945054945,36.0,13.9722222222,1.82637362637,0.333333333333,0.277777777778,0.0555555555556,0.0833333333333,0.194444444444,0.0555555555556,13.0,21.8461538,1.0,0.0,IDF,PDLL,0.0
2015,3,National,LE MANS,PARIS MONTPARNASSE,58.7863247863,468,0,38,24.9210526316,2.48717948718,47.0,25.2127659574,2.67735042735,0.318181818182,0.454545454545,0.113636363636,0.0681818181818,0.0454545454545,0.0,24.0,41.5833333,9.0,5.0,PDLL,IDF,0.0
